,country,epoch,set,metric,weight_kind,rmse,mse,r2
55,Sierra Leone,1,test,mean,sklearn (w+s),7.091874152045959,50.294678988457584,0.7992060058494223
56,Sierra Leone,1,test,std,sklearn (w+s),2.8174468552496705,7.938006782156258,0.3372855940813845
57,Sierra Leone,1,test,overall,sklearn (w),4.980823113357477,29.570896787559505,0.5706482740739326
58,Sierra Leone,1,test,mean,sklearn (w),7.16309209334217,51.30988833770112,0.7951529341481316
59,Sierra Leone,1,test,std,sklearn (w),2.798554133372784,7.831905237417896,0.3461436139997336
60,Sierra Leone,1,test,overall,sklearn (s),4.700023749433442,25.837163329414466,0.5931235567654887
61,Sierra Leone,1,test,mean,sklearn (s),6.635725194433697,44.032848856042115,0.824205427423794
62,Sierra Leone,1,test,std,sklearn (s),2.7643223044331884,7.641477802786813,0.36204168610718324
63,Sierra Leone,2,test,overall,none,4.855782239800124,27.9502707821394,0.5812235590099815
64,Sierra Leone,2,test,mean,none,6.946631259165485,48.25568585081504,0.8058278718972156
65,Sierra Leone,2,test,std,none,2.764933220434764,7.644855713463754,0.3566192461227473
66,Sierra Leone,2,test,overall,(w+s),4.97049358135278,29.070117034115782,0.5503686795715507
67,Sierra Leone,2,test,mean,(w+s),7.059586827679184,49.837766177541454,0.7994618675921534
68,Sierra Leone,2,test,std,(w+s),2.881400335026376,8.302467890690114,0.3012754915509479
69,Sierra Leone,2,test,overall,(wX),5.062196961643007,30.15942287731352,0.5339702402016827
70,Sierra Leone,2,test,mean,(wX),7.191418603193232,51.71650152635369,0.7919021772802471
71,Sierra Leone,2,test,std,(wX),2.9329753200927815,8.602344228273354,0.2760383031231183
72,Sierra Leone,2,test,overall,(wENS 0.1),4.860983436796266,27.915185066691993,0.5756264408338234
73,Sierra Leone,2,test,mean,(wENS 0.1),6.9312551807671765,48.04229838091183,0.8066865043756695
74,Sierra Leone,2,test,std,(wENS 0.1),2.7907116928253544,7.788071752472156,0.3445663772919775
75,Sierra Leone,2,test,overall,(wENS 0.4),4.8940334005929484,28.308670765043622,0.5704652926860583
76,Sierra Leone,2,test,mean,(wENS 0.4),6.981402040513612,48.73997445128763,0.8038791824005955
77,Sierra Leone,2,test,std,(wENS 0.4),2.8066647606722848,7.8773670787996135,0.33705140297152114
78,Sierra Leone,2,test,overall,(wENS 0.49),4.863211788889633,28.040507762472224,0.5801682218174087
79,Sierra Leone,2,test,mean,(wENS 0.49),6.958367835316036,48.41888293156078,0.8051711964420883
80,Sierra Leone,2,test,std,(wENS 0.49),2.7680557424632304,7.662132593383666,0.3551652471927291
81,Sierra Leone,2,test,overall,(wENS 0.5),4.855782239800124,27.9502707821394,0.5812235590099815
82,Sierra Leone,2,test,mean,(wENS 0.5),6.946631259165485,48.25568585081504,0.8058278718972156
83,Sierra Leone,2,test,std,(wENS 0.5),2.764933220434764,7.644855713463754,0.3566192461227473
84,Sierra Leone,2,test,overall,(wENS 0.51),4.8273704873540595,27.54633350506517,0.5822670983173648
85,Sierra Leone,2,test,mean,(wENS 0.51),6.887183023214593,47.43328999525531,0.8091370436684059
86,Sierra Leone,2,test,std,(wENS 0.51),2.767557951493525,7.659377014875036,0.3553971529663238
87,Sierra Leone,2,test,overall,(wENS 0.55),4.860983436796266,27.915185066691993,0.5756264408338234
88,Sierra Leone,2,test,mean,(wENS 0.55),6.9312551807671765,48.04229838091183,0.8066865043756695
89,Sierra Leone,2,test,std,(wENS 0.55),2.7907116928253544,7.788071752472156,0.3445663772919775
90,Sierra Leone,2,test,overall,(wENS 0.6),4.8568792883256675,27.930383833136137,0.5794365570618818
91,Sierra Leone,2,test,mean,(wENS 0.6),6.940411724302918,48.16931490284141,0.80617541292743
92,Sierra Leone,2,test,std,(wENS 0.6),2.7733468523484164,7.69145276343087,0.3526977011963336
93,Sierra Leone,2,test,overall,(wENS 0.8),4.8568792883256675,27.930383833136137,0.5794365570618818
94,Sierra Leone,2,test,mean,(wENS 0.8),6.940411724302918,48.16931490284141,0.80617541292743
95,Sierra Leone,2,test,std,(wENS 0.8),2.7733468523484164,7.69145276343087,0.3526977011963336
96,Sierra Leone,2,test,overall,(wENS 0.9),4.98291552738481,29.451810919013248,0.5599265986931798
97,Sierra Leone,2,test,mean,(wENS 0.9),7.13288384481663,50.878031943646064,0.7952760268143129
98,Sierra Leone,2,test,std,(wENS 0.9),2.8329472099529904,8.025589894380433,0.3245771705720467
99,Sierra Leone,2,test,overall,(wENS 0.99),4.76280315914737,26.454471857926816,0.5746693161042831
100,Sierra Leone,2,test,mean,(wENS 0.99),6.704497760556832,44.95029022131157,0.8191281844362714
101,Sierra Leone,2,test,std,(wENS 0.99),2.8211085577379085,7.9586534945420615,0.3302104477722946
102,Sierra Leone,2,test,overall,(wENS 0.999),4.78463416514688,26.641626387279427,0.5677107253799067
103,Sierra Leone,2,test,mean,(wENS 0.999),6.720842390774653,45.16972244163355,0.8182452289784221
104,Sierra Leone,2,test,std,(wENS 0.999),2.848425939519106,8.1135303329253,0.3171762217813915
